,alpha,zero_count,non_zero_mean
"('Loss.Ratio', 11, 'CAT')",0.001,0,0.35836584968651564
"('Loss.Ratio', 21, 'BUY')",0.001,0,0.05429362959297549
"('Loss.Ratio', 21, 'CAT')",0.001,0,-0.010857166695118232
"('Loss.Ratio', 41, 'BUY')",0.001,0,0.0624866617667568
"('Loss.Ratio', 41, 'CAT')",0.001,0,-0.025526162347315418
"('Loss.Ratio', 51, 'BUY')",0.001,0,0.07582144268595112
"('Loss.Ratio', 51, 'CAT')",0.001,0,0.0042003128251590525
"('Loss.Ratio', 81, 'BUY')",0.001,0,0.07280907943132435
"('Loss.Ratio', 81, 'CAT')",0.001,0,0.008264586602887406
"('Loss.Ratio', 88, 'BUY')",0.001,0,-0.014810824769385982
"('Loss.Ratio', 91, 'BUY')",0.001,0,0.2294409059924499
"('Loss.Ratio', 91, 'CAT')",0.001,0,0.06398567139982803
"('Loss.Ratio', 11, 'CAT missing')",0.001,0,0.34602985333229974
"('Loss.Ratio', 21, 'BUY missing')",0.001,1,-0.018133765196929427
"('Loss.Ratio', 21, 'CAT missing')",0.001,0,-0.03778473473153694
"('Loss.Ratio', 41, 'BUY missing')",0.001,2,0.012990031800994612
"('Loss.Ratio', 41, 'CAT missing')",0.001,1,0.01003647022194652
"('Loss.Ratio', 51, 'BUY missing')",0.001,0,0.06695155179573131
"('Loss.Ratio', 51, 'CAT missing')",0.001,0,0.029284303213697942
"('Loss.Ratio', 81, 'BUY missing')",0.001,0,0.026732995719427895
"('Loss.Ratio', 81, 'CAT missing')",0.001,0,0.028225801027976283
"('Loss.Ratio', 88, 'BUY missing')",0.001,0,0.19332958500651526
"('Loss.Ratio', 91, 'BUY missing')",0.001,0,0.09004615357847946
"('Loss.Ratio', 91, 'CAT missing')",0.001,0,-0.026951011181642597
04,0.001,5,0.0
05,0.001,0,0.0697892875239255
06,0.001,0,0.06917017129046431
08,0.001,0,-0.060864876577766756
09,0.001,5,0.0
10,0.001,5,0.0
12,0.001,5,0.0
13,0.001,0,0.11525184337732264
16,0.001,0,-0.04618533126614852
17,0.001,4,0.0019354149126008255
18,0.001,3,-0.021956495319396984
19,0.001,0,0.18104030946568597
20,0.001,0,-0.09703476374251493
21,0.001,5,0.0
22,0.001,0,0.125386787454537
23,0.001,5,0.0
24,0.001,0,0.37441779577479917
25,0.001,5,0.0
26,0.001,0,-0.06989515874434307
27,0.001,0,-0.11284913278943251
28,0.001,0,0.21632379391075576
29,0.001,0,-0.02236391520448737
30,0.001,0,-0.11444589494680635
31,0.001,0,-0.1271025795971048
32,0.001,5,0.0
33,0.001,5,0.0
34,0.001,5,0.0
35,0.001,5,0.0
36,0.001,5,0.0
37,0.001,4,0.0063993709865583955
38,0.001,0,-0.1232961360102055
39,0.001,0,-0.11020894066868547
40,0.001,5,0.0
41,0.001,5,0.0
42,0.001,0,0.2595151417579845
45,0.001,5,0.0
46,0.001,0,-0.13926520996892866
47,0.001,5,0.0
48,0.001,0,-0.033179303213936216
49,0.001,5,0.0
50,0.001,5,0.0
51,0.001,1,0.06406229269341904
53,0.001,5,0.0
54,0.001,5,0.0
55,0.001,0,-0.06434030385197273
56,0.001,5,0.0
"('Loss.Ratio', 11, 'CAT')",0.01,0,0.35426262086632865
"('Loss.Ratio', 21, 'BUY')",0.01,0,0.017455427609553403
"('Loss.Ratio', 21, 'CAT')",0.01,5,0.0
"('Loss.Ratio', 41, 'BUY')",0.01,0,0.054880513741615886
